
running 1 test
test test_encode_decode_roundtrip ... FAILED

failures:

---- test_encode_decode_roundtrip stdout ----
Compressing Intra Cube at t=0, start_x=0, start_y=0
[ENCODE] [0][10][2] Writing EVENT d=8, t=786, d_res=-1, t_res=786
[ENCODE] [0][10][3] Writing EVENT d=9, t=1292, d_res=1, t_res=1292
[ENCODE] [0][10][4] Writing EVENT d=9, t=1326, d_res=0, t_res=1326
[ENCODE] [0][10][5] Writing EVENT d=9, t=1592, d_res=0, t_res=1592
[ENCODE] [0][10][6] Writing EVENT d=9, t=1386, d_res=0, t_res=1386
[ENCODE] [0][10][7] Writing EVENT d=10, t=2482, d_res=1, t_res=2482
[ENCODE] [0][10][8] Writing EVENT d=10, t=2500, d_res=0, t_res=2500
[ENCODE] [0][10][9] Writing EVENT d=10, t=2508, d_res=0, t_res=2508
[ENCODE] [0][10][10] Writing EVENT d=9, t=1280, d_res=-1, t_res=1280
[ENCODE] [0][10][11] Writing EVENT d=10, t=2537, d_res=1, t_res=2537
[ENCODE] [0][10][12] Writing EVENT d=9, t=1277, d_res=-1, t_res=1277
[ENCODE] [0][10][13] Writing EVENT d=9, t=1280, d_res=0, t_res=1280
[ENCODE] [0][10][14] Writing EVENT d=9, t=1282, d_res=0, t_res=1282
[ENCODE] [0][10][15] Writing EVENT d=10, t=2442, d_res=1, t_res=2442
[ENCODE] [0][11][0] Writing EVENT d=10, t=2257, d_res=0, t_res=2257
[ENCODE] [0][11][1] Writing EVENT d=10, t=2290, d_res=0, t_res=2290
[ENCODE] [0][11][2] Writing EVENT d=10, t=2299, d_res=0, t_res=2299
[ENCODE] [0][11][3] Writing EVENT d=10, t=2252, d_res=0, t_res=2252
[ENCODE] [0][11][4] Writing EVENT d=10, t=2177, d_res=0, t_res=2177
[ENCODE] [0][11][5] Writing EVENT d=10, t=2467, d_res=0, t_res=2467
[ENCODE] [0][11][6] Writing EVENT d=9, t=1270, d_res=-1, t_res=1270
[ENCODE] [0][11][7] Writing EVENT d=10, t=2448, d_res=1, t_res=2448
[ENCODE] [0][11][8] Writing EVENT d=9, t=1410, d_res=-1, t_res=1410
[ENCODE] [0][11][9] Writing EVENT d=9, t=1428, d_res=0, t_res=1428
[ENCODE] [0][11][10] Writing EVENT d=10, t=2463, d_res=1, t_res=2463
[ENCODE] [0][11][11] Writing EVENT d=9, t=1305, d_res=-1, t_res=1305
[ENCODE] [0][11][12] Writing EVENT d=9, t=1599, d_res=0, t_res=1599
[ENCODE] [0][11][13] Writing EVENT d=9, t=1326, d_res=0, t_res=1326
[ENCODE] [0][11][14] Writing EVENT d=10, t=2530, d_res=1, t_res=2530
[ENCODE] [0][11][15] Writing EVENT d=9, t=1362, d_res=-1, t_res=1362
[ENCODE] [0][12][0] Writing EVENT d=10, t=2107, d_res=1, t_res=2107
[ENCODE] [0][12][1] Writing EVENT d=10, t=2137, d_res=0, t_res=2137
[ENCODE] [0][12][2] Writing EVENT d=10, t=2251, d_res=0, t_res=2251
[ENCODE] [0][12][3] Writing EVENT d=10, t=2105, d_res=0, t_res=2105
